Company,Skills
Icubespro,"['css', 'software design', 'bootstrap', 'jquery', 'git', 'oops', 'asp.net', 'software engineer', 'html', 'mysql', 'mvc', 'c#', 'entity framework', 'asp .net', 'javascript', 'windows forms', '.net']"
LAKSH HUMAN RESOURCE,"['algorithms', 'html5', 'bootstrap', 'ajax', 'jquery', 'sql', 'apache', 'linux', 'software engineer', 'data structures', 'mysql', 'cakephp', 'mobile', 'problem solving', 'node.js', 'environment', 'ooad', 'php']"
bizbrainz technologies pvt ltd,"['css', 'wordpress', 'ajax', 'jquery', 'cake', 'xml', 'codeigniter', 'software engineer', 'mysql', 'html', 'object oriented programming', 'mvc', 'magento', 'rdbms', 'joomla', 'javascript', 'drupal', 'php', 'smarty']"
fixfin technologies pvt ltd,"['css', 'html5', 'wordpress', 'ece', 'php developer', 'jquery', 'database', 'oscommerce', 'codeigniter', 'yii', 'zend', 'software engineer', 'mysql', 'html', 'mvc', 'magento', 'cakephp', 'triggers', 'drupal', 'php']"
Dquip,"['service oriented', 'css', 'soa', 'xml', 'data structures', 'software engineering', 'html', 'mysql', 'javascript', 'soap', 'fundamentals', 'algorithms', 'oops', 'software engineer', 'mvc', 'business applications', 'rest', 'rdbms', 'team player', 'windows', 'written communication', 'php', 'unix   /   linux']"
eurofins it solutions pvt ltd,"['web application development', 'microsoft technologies', 'angular', 'javascript', 'typescript', 'mssql', 'tfs', 'oop', 'design patterns', 'soa', 'html5', 'asp.net', 'c#', 'erp  /  crm', 'nosql', 'jquery', 'oops', 'software engineer', 'mvc', 'cloud computing', 'information management', 'software delivery', 'mobile', 'service oriented architecture']"
Zettaone Technologies India Pvt. Ltd.,"['microprocessor', 'jtag', 'usb', 'i2c', 'embedded hardware', 'arm', 'hardware', 'microcontroller', 'embedded software', 'uart', 'arm controller']"
SEVEN CONSULTANCY,"['software programming', 'software system design', 'developing software']"
SEVEN CONSULTANCY,"['software system', 'system validation', 'testing methods']"
peerme software technology pvt. ltd.,"['c', 'system software', 'ajax', 'java', 'xml', 'java se', 'web development', 'mysql', 'c#', 'oracle', 'javascript', 'eclipse', 'soap', 'algorithms', 'jquery', 'database', 'oops', 'linux', 'json', 'mvc', 'rest', 'cakephp', 'c', 'mobile', 'team player', 'swing', 'system architecture', 'php']"
Valley Telegence,"['c', 'os', 'dialogic', 'ss7', 'linux', 'telecom', 'software developer']"
Topnotch soft sol India pvt ltd,"['reports', 'mentor', 'web services', 'n-tier', 'oop', 'asp.net', 'wcf', 'project development', 'mentoring', 'software project', 'sql server', 'software implementation', 'c#.net', 'lead developer', 'technical leadership', 'stored procedures', 'memory management', 'procedures', 'software estimation']"
eurofins it solutions pvt ltd,"['full stack development', 'microsoft stack', 'angular', 'c#  /', 'net', 'web apis', 'soa', 'oop', 'software engineering', '.net', 'sql', 'uml', 'debugging', 'entity framework', 'microsoft azure', 'problem solving']"
Phoenix Knowledge Management Pvt. Ltd.,"['problem solving', 'database', 'java', '.net', 'visual basic']"
Boyen Haddin Consultants LLP,"['fundamentals', 'aop', 'orchestration', 'software design', 'docker', 'spring', 'advanced java', 'java', 'oops', 'mvc', 'mongodb', 'problem solving', 'nosql', 'messaging', 'spring boot', 'cassandra', 'java programming']"
e-business international,"['testing', 'test data', 'functional testing', 'hp quality center', 'integration testing', 'sap r', 'hp alm']"
Vacation Labs,"['github', 'ruby', 'tandem', 'api', 'angularjs']"
cme group,"['software engineering', 'sql', 'database modeling', 'coding', 'unit testing', 'software requirements']"
JIVA INFOTECH,"['fundamentals', 'algorithms', 'bug fixing', 'security', 'xml', 'json', 'mvc', 'rest', 'c', 'operating system', 'problem solving', 'soap']"
